Season,Match,Team,Opponent,Team Rating,Rating Change,Goals,Goals Allowed,Shots,Assists,Saves,xG,Covr Rate,Save Percent,Yellow Cards,Red Cards,Time
1,27,FCB,SWF,45.56,-3.91,3,2,9,1,4,3.89,0.33,0.67,0,0,Final
1,27,SWF,FCB,27.51,1.21,2,3,6,0,6,2.08,0.33,0.67,0,0,Final
1,28,TUE,HBD,17.41,0.2,1,3,5,0,2,1.0,0.2,0.4,0,0,Final
1,28,HBD,TUE,32.91,-1.09,3,1,5,0,4,3.3,0.6,0.8,0,0,Final
1,29,WCS,L7F,15.84,-0.45,1,2,8,0,9,1.82,0.12,0.82,0,0,Final
1,29,L7F,WCS,20.28,-2.21,2,1,11,0,7,3.83,0.18,0.88,1,0,Final
1,30,NPC,NFC,82.89,4.98,2,2,8,2,6,2.06,0.25,0.75,0,0,Final
1,30,NFC,NPC,95.61,-1.2,2,2,8,1,6,2.81,0.25,0.75,1,0,Final
1,31,MFC,HPA,99.9,0.69,6,0,14,4,3,7.12,0.43,1.0,0,0,Final
1,31,HPA,MFC,21.5,-0.42,0,6,3,0,8,0.61,0.0,0.57,2,0,Final
1,32,WSR,MCH,62.82,-17.7,1,5,12,0,6,2.39,0.08,0.55,0,0,Final
1,32,MCH,WSR,78.55,24.95,5,1,11,1,11,3.14,0.45,0.92,1,0,Final
1,33,HBD,L7F,35.5,0.0,0,5,0,0,0,4.91,0.0,0.0,0,0,Forfeit
1,33,L7F,HBD,20.5,0.0,5,0,0,0,0,2.08,0.0,0.0,0,0,Forfeit
1,34,BBF,NFC,96.13,-1.38,4,3,14,4,5,3.03,0.29,0.62,0,0,Final
1,34,NFC,BBF,89.47,-7.04,3,4,8,1,10,2.5,0.38,0.71,0,0,Final
1,35,MCH,MFC,87.09,9.74,5,2,21,4,4,2.53,0.24,0.67,0,0,Final
1,35,MFC,MCH,81.1,-18.57,2,5,6,2,16,2.25,0.33,0.76,2,0,Final
1,36,FCB,HVB,39.57,-0.67,7,1,31,4,2,7.78,0.23,0.67,2,0,Final
1,36,HVB,FCB,14.85,0.18,1,7,3,1,24,0.98,0.33,0.77,1,0,Final
1,37,SWF,HPA,28.12,0.0,0,5,0,0,0,4.83,0.0,0.0,0,0,Forfeit
1,37,HPA,SWF,22.06,0.0,5,0,0,0,0,3.23,0.0,0.0,0,0,Forfeit
1,38,FCB,MCH,35.9,-3.67,1,5,7,1,4,1.34,0.14,0.44,0,0,Final
